Lon,Lat,"PGA %g[Boore,2008]",Rup Dist(km)
97.14,12.9,0.021633417,308.7503764
97.19,12.9,0.022762672,304.9830806
97.24,12.9,0.023936884,301.2658271
97.29,12.9,0.025156288,297.600491
97.34,12.9,0.026420916,293.9890142
97.39,12.9,0.027730576,290.4334059
97.44,12.9,0.02908482,286.935743
97.49,12.9,0.030482925,283.4981703
97.54,12.9,0.03192386,280.1228999
97.59,12.9,0.033406262,276.812211
97.64,12.9,0.034928407,273.5684481
97.69,12.9,0.036488185,270.3940199
97.74,12.9,0.038083074,267.2913968
97.79,12.9,0.039710115,264.2631078
97.84,12.9,0.041365894,261.3117374
97.89,12.9,0.043046519,258.4399206
97.94,12.9,0.044747611,255.6503386
97.99,12.9,0.046464289,252.9457121
98.04,12.9,0.048191171,250.3287947
98.09,12.9,0.049922376,247.8023653
98.14,12.9,0.051651531,245.3692189
98.19,12.9,0.053371794,243.0321573
98.24,12.9,0.055075879,240.7939782
98.29,12.9,0.056756095,238.6574637
98.34,12.9,0.058404391,236.6253676
98.39,12.9,0.060012418,234.7004022
98.44,12.9,0.061571594,232.8852239
98.49,12.9,0.063073184,231.182419
98.54,12.9,0.064508385,229.5944876
98.59,12.9,0.065868426,228.1238286
98.64,12.9,0.06714467,226.7727237
98.69,12.9,0.068328719,225.5433214
98.74,12.9,0.069412532,224.4376216
98.79,12.9,0.070388531,223.4574606
98.84,12.9,0.071249717,222.6044968
98.89,12.9,0.071989774,221.8801971
98.94,12.9,0.072603169,221.2858249
98.99,12.9,0.073085244,220.8224294
99.04,12.9,0.073432288,220.4908363
99.09,12.9,0.073641606,220.2916409
99.14,12.9,0.073711561,220.2252024
99.19,12.9,0.073641606,220.2916409
99.24,12.9,0.073432288,220.4908363
99.29,12.9,0.073085244,220.8224294
99.34,12.9,0.072603169,221.2858249
99.39,12.9,0.071989774,221.8801971
99.44,12.9,0.071249717,222.6044968
99.49,12.9,0.070388531,223.4574606
99.54,12.9,0.069412532,224.4376216
99.59,12.9,0.068328719,225.5433214
99.64,12.9,0.06714467,226.7727237
99.69,12.9,0.065868426,228.1238286
99.74,12.9,0.064508385,229.5944876
99.79,12.9,0.063073184,231.182419
99.84,12.9,0.061571594,232.8852239
99.89,12.9,0.060012418,234.7004022
99.94,12.9,0.058404391,236.6253676
99.99,12.9,0.056756095,238.6574637
100.04,12.9,0.055075879,240.7939782
100.09,12.9,0.053371794,243.0321573
100.14,12.9,0.051651531,245.3692189
100.19,12.9,0.049922376,247.8023653
100.24,12.9,0.048191171,250.3287947
100.29,12.9,0.046464289,252.9457121
100.34,12.9,0.044747611,255.6503386
100.39,12.9,0.043046519,258.4399206
100.44,12.9,0.041365894,261.3117374
100.49,12.9,0.039710115,264.2631078
100.54,12.9,0.038083074,267.2913968
100.59,12.9,0.036488185,270.3940199
100.64,12.9,0.034928407,273.5684481
100.69,12.9,0.033406262,276.812211
100.74,12.9,0.03192386,280.1228999
100.79,12.9,0.030482925,283.4981703
100.84,12.9,0.02908482,286.935743
100.89,12.9,0.027730576,290.4334059
100.94,12.9,0.026420916,293.9890142
100.99,12.9,0.025156288,297.600491
101.04,12.9,0.023936884,301.2658271
101.09,12.9,0.022762672,304.9830806
97.14,12.95,0.022823484,304.7857367
97.19,12.95,0.024032872,300.9703569
97.24,12.95,0.025291853,297.2044369
97.29,12.95,0.026600819,293.4898805
97.34,12.95,0.027959951,289.8286628
97.39,12.95,0.029369187,286.2228305
97.44,12.95,0.030828193,282.6745033
97.49,12.95,0.032336338,279.1858735
97.54,12.95,0.033892656,275.7592071
97.59,12.95,0.035495821,272.3968424
97.64,12.95,0.037144108,269.1011898
97.69,12.95,0.038835368,265.87473
97.74,12.95,0.040566992,262.7200124
97.79,12.95,0.042335886,259.6396519
97.84,12.95,0.044138442,256.6363263
97.89,12.95,0.045970515,253.712771
97.94,12.95,0.047827402,250.8717751
97.99,12.95,0.049703833,248.1161744
98.04,12.95,0.051593957,245.4488452
98.09,12.95,0.053491347,242.8726958
98.14,12.95,0.055389002,240.3906575
98.19,12.95,0.05727937,238.0056748
98.24,12.95,0.059154375,235.7206935
98.29,12.95,0.061005452,233.538649
98.34,12.95,0.062823606,231.4624526
98.39,12.95,0.064599467,229.494977
98.44,12.95,0.066323373,227.6390413
98.49,12.95,0.067985457,225.8973946
98.54,12.95,0.069575745,224.2726996
98.59,12.95,0.071084268,222.7675151
98.64,12.95,0.072501182,221.3842789
